ID,account_type,gender,age,region_code,dc_cons_apr,dc_cons_may,dc_cons_jun,cc_count_apr,cc_count_may,cc_count_jun,dc_count_apr,dc_count_may,dc_count_jun,card_lim,personal_loan_active,vehicle_loan_active,personal_loan_closed,vehicle_loan_closed,investment_1,investment_2,investment_3,investment_4,debit_amount_apr,credit_amount_apr,debit_count_apr,credit_count_apr,max_credit_amount_apr,debit_amount_may,credit_amount_may,credit_count_may,debit_count_may,max_credit_amount_may,debit_amount_jun,credit_amount_jun,credit_count_jun,debit_count_jun,max_credit_amount_jun,loan_enq,cc_cons
10499,current,F,36,678.0,,,,8.0,14.0,28.0,,,,57727.0,,,,,,,,,496446.8421425962,18183.861537892713,11.0,6.0,463624.4294095465,648190.2036780622,606060.7944543256,2.0,7.0,604558.7868209288,,625074.2930264517,1.0,4.0,532615.5891348586,,9912.0
11677,current,F,37,244.0,7408.424203564923,,,11.0,1.0,,8.0,,,106780.0,,,1.0,,,,,,149116.53023797375,415120.7778153033,8.0,4.0,492665.6501615114,1008454.3347117469,148747.89136958975,8.0,19.0,12362.410205377622,474939.1829741605,685769.5349809652,10.0,12.0,143402.81005722153,,18152.0
3259,current,M,30,629.0,,,,3.0,4.0,19.0,,,,77447.0,,,,,,253497.27158588532,,,185422.25553084328,238655.80602991692,7.0,3.0,395002.67317166337,776981.154083572,449833.15642632975,1.0,8.0,511261.9781297582,1407149.438466687,1317461.239697409,3.0,1.0,509769.72485692607,,17158.0
1584,saving,M,46,683.0,3339.4011788219964,,,15.0,13.0,17.0,5.0,,,75171.0,,,,,,,,,573438.5200851625,282966.2273284868,41.0,5.0,81938.18408637299,813532.2879329502,789144.7875674731,4.0,16.0,610965.9624912698,23942.065588064223,1009543.408857324,1.0,15.0,116787.17411459096,,414.0
2909,current,M,33,735.0,,,,9.0,13.0,18.0,,,,62950.0,,,,,,,,,259407.31964338856,397714.80188300327,19.0,15.0,61614.224040534056,78967.19157392652,320337.0224519279,3.0,16.0,563260.6366433543,331750.05390197306,1874525.521129261,5.0,7.0,596101.9914205628,,19504.0
1638,current,M,38,666.0,5893.6375094745545,16253.106170161567,23987.179115437357,2.0,,19.0,10.0,3.0,15.0,134762.0,,,,,,,,,673035.4745474862,64793.117327214335,28.0,3.0,241876.986138525,284215.66160120844,1020672.6184417128,3.0,8.0,92418.23737452168,1653572.984334903,1544663.9251799374,5.0,29.0,284213.94463718147,,2155.0
3079,current,M,43,608.0,17395.002224811782,,2623.3004707376504,,3.0,14.0,1.0,,2.0,152216.0,,,1.0,,,,,,378555.7254154573,455066.60375814576,13.0,2.0,269860.38993977755,225744.0259067759,1002068.806788899,6.0,15.0,244423.6114757949,1280011.8749016572,1335507.7940422206,8.0,27.0,32102.275614453632,,10267.0
19990,saving,M,35,780.0,21947.173776463744,,,9.0,11.0,2.0,6.0,,,65039.0,,,,,,,,,471759.936298494,330791.93934799987,9.0,6.0,573723.8822519098,763995.4150027335,491640.6538130724,2.0,16.0,269732.3402422169,567306.4440212836,741110.578991175,9.0,21.0,427305.1115680847,,20299.0
582,current,F,33,687.0,,,,1.0,6.0,,,,,14888.0,,,,,,616043.2307672831,,,427029.15151144203,537267.6967924995,0.0,3.0,303767.4520004591,919539.9356435532,934668.0494855072,1.0,2.0,197291.58353151448,1362172.090605768,139621.14119354548,2.0,4.0,245974.9906428646,,3826.0
11396,current,M,34,708.0,,,,12.0,9.0,6.0,,,2.0,182153.0,,,,,,,,,561523.0804526662,249061.53575613012,5.0,1.0,592862.4123966853,235554.03912218052,266931.21991494327,1.0,3.0,167571.94486883574,1225628.5293783788,216409.93133353846,4.0,7.0,146566.92126309522,,6674.0
15030,current,M,34,311.0,7507.375468400145,21881.311260434366,6483.8476118886765,31.0,24.0,58.0,12.0,5.0,9.0,4575.0,,,,,,,,,377952.1298065787,313111.01506574353,17.0,3.0,527205.6651730307,923086.9262913115,125157.65395363707,5.0,16.0,230701.9286507145,1774077.8862259109,586814.6397098578,4.0,22.0,206323.21309872952,,15105.0
16342,saving,M,55,809.0,,32474.319928356206,928.2936597834996,1.0,2.0,21.0,,8.0,15.0,19174.0,,,,,1029547.844701824,,,,655965.195402841,650802.4240653161,20.0,1.0,185140.73568946435,49295.35069101909,1011316.9756742759,5.0,10.0,295241.15867617,724328.9203638989,499776.27140121826,8.0,23.0,436487.90932874224,,6057.0
11264,saving,M,50,537.0,182.52470638598786,,,2.0,4.0,18.0,1.0,,1.0,181840.0,,,,,,,,,226132.8032975135,555761.5341740835,16.0,2.0,56967.11135477456,472336.3035815739,733205.260056974,3.0,11.0,184827.14434915554,1448873.8566708209,269206.86037735327,5.0,12.0,297712.30598229024,,13526.0
7103,current,M,26,679.0,9471.04647030755,4748.344631101509,13748.28464333944,17.0,9.0,17.0,4.0,11.0,8.0,90281.0,,,,,,,,,605575.8298246821,283742.3747819263,48.0,6.0,330160.2737440141,1040698.1502092868,705801.328781331,8.0,35.0,15712.411132008514,1719302.9414204112,238850.67241752625,8.0,10.0,356888.3420196013,,3452.0
5600,current,M,31,215.0,,,,12.0,2.0,1.0,,,,98979.0,,,,,,,,,486816.3087485461,201671.12529714766,21.0,8.0,134597.99567524766,311809.41323708225,149700.6710992617,2.0,11.0,432843.5743370061,333738.9082973573,735382.939169701,6.0,14.0,106143.59982147727,,34337.0
8871,saving,M,56,291.0,,,,11.0,5.0,16.0,,,,300628.0,,,,,,,,,88476.8696298724,522689.872427609,6.0,7.0,415557.7234094069,1071777.145299925,522865.930117907,1.0,7.0,174205.61749893086,672292.440466566,1696059.1825742864,2.0,4.0,131398.52828257286,,5302.0
16898,current,M,28,688.0,3898.1503179315723,41221.57735696473,2769.318618662123,6.0,60.0,31.0,1.0,2.0,3.0,23539.0,,,,,,,,,63737.15607292345,543352.9307847677,13.0,1.0,245517.5414279445,18337.89853970186,156489.8580683753,4.0,11.0,492509.1431159401,1378835.5495559669,1567020.5216630157,2.0,23.0,510242.58147300227,,16953.0
14003,saving,M,43,672.0,,30904.189682367316,11838.416252351446,,17.0,29.0,,4.0,1.0,109739.0,,,1.0,,,,,,69135.97474248194,108541.86474620904,12.0,4.0,522580.348404636,785737.0629815166,661903.3394073872,4.0,10.0,459327.0739351945,1017798.7004769336,1899946.089723115,7.0,12.0,493199.7071392218,,3355.0
2403,current,F,36,234.0,2317.919508438183,21641.871218360924,36814.78040004701,11.0,13.0,5.0,4.0,2.0,1.0,209547.0,,,1.0,,,,,,17347.180627632948,530627.213865249,7.0,3.0,35675.58363894949,447822.76448517776,419952.9374815064,3.0,13.0,103438.65886093667,1126053.922345591,1565537.4682584878,5.0,9.0,627088.7674628601,,9241.0
12375,current,M,27,752.0,12825.11541072865,44623.09299991253,,13.0,9.0,8.0,2.0,6.0,2.0,71295.0,,,,,,,,,472340.1003321532,96313.79093063867,9.0,3.0,504245.513271176,969251.7285494492,982550.9989820444,6.0,16.0,513853.95355579077,835796.4446156062,1884129.642918692,6.0,13.0,354229.0238602747,,10870.0
12821,current,M,26,326.0,15594.941890325304,27566.61238807105,14766.99288620226,1.0,1.0,16.0,1.0,7.0,15.0,6259.0,,,,,,,,,642997.3836709454,373705.46976426156,9.0,3.0,183498.12230396282,94699.6867754424,623519.2225709185,2.0,12.0,402325.8504650624,126675.13693013866,1909575.7633401232,10.0,29.0,624927.5986324748,,98.0
3192,current,M,36,835.0,,9347.907605958915,,8.0,,20.0,,1.0,2.0,24338.0,,,,,,,,,160834.7262527339,71461.2466560298,15.0,3.0,255699.1229276741,1070136.6246545669,7952.786595212276,2.0,12.0,425120.0623116889,1365659.6067782277,375928.04758946155,9.0,11.0,51504.17969290584,,7861.0
17782,current,M,28,710.0,6016.295540411178,4719.159564005805,9624.281612940456,2.0,1.0,19.0,2.0,4.0,7.0,53409.0,,,,,,,,,87118.60304153296,2157.2289938106533,23.0,3.0,408872.7545751631,327252.3203164211,1077342.7910296463,5.0,24.0,365333.6435631978,1056389.2194205069,359062.11723659304,5.0,43.0,586530.3436619614,,16988.0
1336,current,M,40,611.0,,,,10.0,22.0,22.0,,,,164512.0,,,,,,,,,74351.65891984352,293056.4210029797,12.0,2.0,4967.39022491221,1105342.4278028414,46207.24786643371,7.0,12.0,580149.573407653,250507.1390104205,339559.1195178977,7.0,9.0,44478.416075693465,,32140.0
7533,saving,M,36,236.0,3556.857900680505,,,7.0,24.0,24.0,1.0,,2.0,189901.0,,,,,,,,,117611.94884291207,57610.426076055264,14.0,1.0,279880.0334413926,1032685.1415128132,199828.57869564585,2.0,6.0,326853.84401008644,1376976.3431479526,1257899.81423549,7.0,15.0,215965.77628011108,,17200.0
9282,current,M,45,546.0,7942.657552456083,6731.167775504079,,9.0,13.0,11.0,1.0,2.0,1.0,174526.0,,,1.0,,,,,,368019.2632271999,86537.38854981674,13.0,4.0,46700.28825640415,173585.11044897974,1056957.4085477523,3.0,9.0,233708.72569440329,206711.19536512048,370513.8070482128,7.0,8.0,225194.6107267061,,19464.0
17485,saving,M,37,893.0,1587.5397762388566,35514.146870424505,10280.440535823931,11.0,23.0,30.0,3.0,7.0,3.0,80697.0,,,,,,,11282.074749164807,,235024.2948757603,97468.36845615707,16.0,6.0,446699.2346317771,26133.93692946518,844555.1203882929,2.0,20.0,157832.6331897179,990287.9510226912,189173.5818525763,13.0,16.0,571968.9820105397,,19349.0
13471,current,M,23,241.0,3081.440341125671,22266.946403453832,7378.031159144751,1.0,1.0,26.0,16.0,11.0,8.0,27846.0,,,,,,,,,23097.55844060797,258205.03978852852,19.0,2.0,439581.06620440603,372978.4591088965,817881.3639183374,3.0,13.0,209636.6781778986,813988.1133278266,666962.8141756958,2.0,13.0,191193.2965947404,,2931.0
16144,current,M,32,615.0,9345.343107729324,21926.363934777924,8855.926799013652,8.0,6.0,4.0,11.0,2.0,1.0,5963.0,,,,,,,,,444812.4957065458,95714.95180283065,10.0,1.0,305349.981829897,964709.884570737,605062.8754251299,4.0,12.0,254152.9907096923,1700404.0870593872,259385.43866848788,2.0,14.0,574097.6555236942,,4568.0
12968,current,M,35,226.0,188.53051187230412,5566.463033333685,,9.0,1.0,19.0,3.0,1.0,3.0,124331.0,,,,,,,,,425659.02707598545,626454.5231917107,45.0,4.0,223598.1167602491,621926.9319847181,555797.1891980623,14.0,22.0,447162.1292871053,640339.016494941,646210.1430378484,4.0,26.0,593889.7494156241,,1464.0
13835,current,M,29,258.0,4254.989799724003,16144.825004315513,,3.0,8.0,8.0,1.0,14.0,8.0,38303.0,,,,,,,,,237582.7594046649,456790.917797386,10.0,15.0,19363.322680125726,558225.9350875972,427312.70889495953,12.0,47.0,207241.9958899817,615015.9125083884,1889020.438700264,2.0,37.0,517627.2346809739,,6752.0
6174,current,M,33,735.0,,,,4.0,4.0,8.0,,,,51495.0,,,,,,,,,,,,,,,,,,,,,,,,,54899.0
12686,current,M,34,237.0,3803.465772056641,,,12.0,5.0,25.0,3.0,,,107271.0,,,,,,,,,500250.3504186553,280396.6049972906,9.0,4.0,4867.579718537761,322688.56235256395,62316.593252130486,3.0,8.0,569959.6743107489,1181919.9905731059,1260001.9869659636,3.0,8.0,376450.15495560155,,111304.0
583,current,M,27,294.0,16662.453373817025,18213.96721486519,7662.345000462074,16.0,17.0,19.0,2.0,21.0,16.0,72228.0,,,,,,,,,674067.4769562128,93624.88752068588,22.0,4.0,160608.3579077187,470601.76504431065,800363.9362617614,7.0,29.0,152801.93574286374,273205.57824321627,1533786.9975798975,7.0,48.0,291345.11515921605,,11858.0
13458,current,M,33,719.0,,,7082.697941230139,1.0,,11.0,,,5.0,64956.0,,,,,,,,,92364.44890677149,355695.1424118065,16.0,4.0,334008.6693861272,672272.96168375,293924.0926256305,1.0,9.0,144514.60558547615,1197536.628910165,1586170.421812166,1.0,13.0,495385.87345368287,,9041.0
8875,current,M,37,632.0,15877.846482556097,24916.788942395156,8208.395738358613,2.0,4.0,9.0,1.0,3.0,5.0,3082.0,,,,,,,,,194730.15795909526,297706.83584127016,14.0,9.0,337340.24817286705,1075144.2813966046,1090909.441491445,4.0,18.0,184816.48828712414,789052.6311388427,1678545.6211360374,6.0,12.0,304688.49364511925,,8891.0
13417,current,M,31,733.0,5827.226631609326,7628.8153146557715,6251.892943670283,2.0,7.0,28.0,8.0,8.0,7.0,158282.0,,,,,,,,,71036.30960328967,263298.61225320876,21.0,2.0,286347.87071567297,639103.5448529333,903454.2594648348,4.0,32.0,422874.5869665376,820341.7757536294,1244583.9301237876,5.0,22.0,168435.17308553014,,8846.0
15679,current,M,38,714.0,,,,5.0,4.0,25.0,,,,327399.0,1.0,,,,,411794.9087704332,,,42333.67120980538,607901.3923041603,7.0,4.0,548923.6346678046,119335.98538350248,1005966.2224031663,5.0,2.0,562999.7311261819,385081.8694596523,608599.4372097298,6.0,3.0,89567.19613139599,,19964.0
16111,current,M,34,763.0,15309.631040637456,4951.130543399875,14373.232917574158,29.0,12.0,29.0,2.0,6.0,4.0,63513.0,,,,1.0,,,,,376366.5982393662,537151.2233954384,34.0,14.0,138333.99060571071,773046.0363951533,1025454.7032701896,8.0,29.0,319062.97092349106,1905497.1379774504,863196.2289282652,21.0,39.0,36215.76945692986,,16009.0
5820,current,M,26,614.0,,26465.10690167376,,11.0,12.0,3.0,,1.0,,69832.0,,,,,,,,,557367.3049842449,179666.64077407843,3.0,1.0,420084.57693081157,184453.39977038364,817199.9142346309,1.0,5.0,233830.4233400648,455802.58927197976,850646.7700979975,3.0,6.0,463034.5428984071,,10985.0
18688,current,M,35,711.0,25601.71104568401,42713.61905091833,18674.694144330904,5.0,2.0,22.0,17.0,11.0,21.0,99130.0,,,,,,,,,598089.1748939317,188848.64103815306,54.0,4.0,94506.64607090196,675317.8550957631,177937.02663576422,12.0,41.0,434459.37768633687,567358.7077554746,1279532.3499073572,7.0,30.0,472374.8097996013,,5740.0
2728,current,M,29,378.0,2991.096901946443,2292.040869510259,3062.590186027093,30.0,24.0,51.0,9.0,6.0,13.0,22009.0,,,,,,,,,329995.5388509757,647966.7675135963,16.0,1.0,526570.0926703046,674226.1153674528,914943.1906866984,3.0,8.0,154392.79495951967,1343039.7395486166,851302.1004721201,2.0,27.0,182703.85236096324,,1080.0
10372,current,M,33,736.0,2425.087085375177,6633.859973138726,3240.262949462315,1.0,3.0,8.0,8.0,11.0,22.0,145178.0,,,,,,,,,567034.4338533386,519205.9056135878,18.0,5.0,216337.41593302038,416549.6463330241,146865.67911750727,5.0,23.0,103933.97895603275,7995.230507497758,1715740.0106355257,5.0,25.0,489267.5130376908,,1965.0
1929,saving,M,34,570.0,,,,5.0,4.0,1.0,,,,81619.0,1.0,,1.0,,,631954.3722398186,,,9977.774147181814,315152.9710975213,5.0,6.0,58425.828711962364,100599.85089550028,386279.07435679727,4.0,5.0,132239.59980337456,1640407.2354661613,1828675.2056887469,3.0,2.0,15994.245470365428,,19482.0
8146,current,M,34,527.0,773.0390653714139,,,13.0,9.0,11.0,2.0,,,216470.0,,,,,,25017.95240406805,43111.96256771687,,223410.13243214606,256967.2013454013,28.0,10.0,486816.1643634714,290356.9974215933,1115028.1642083763,8.0,32.0,270192.07252665126,147439.7906706291,512216.4126278208,10.0,3.0,372503.74078407063,,10643.0
15114,saving,M,49,500.0,15008.681294122625,,,20.0,30.0,31.0,3.0,,,154838.0,,,,,,77492.88064065133,,,599275.931186269,56080.00713578429,8.0,10.0,434573.9889323066,897296.0164756936,962449.720959388,3.0,13.0,154543.99656719013,413000.2711712883,1679345.1174393184,5.0,10.0,618646.2910300161,,19602.0
16874,current,M,29,547.0,,19906.339153238736,,1.0,6.0,26.0,,1.0,3.0,9501.0,,,,,,,,,105907.5871985372,261850.69714804977,9.0,2.0,287695.50956889393,933108.93350913,563813.0991411137,1.0,6.0,487769.7351832536,1619988.2101198658,1589692.8987107503,5.0,8.0,179938.55969045733,,4022.0
8644,current,M,27,710.0,12467.897657829784,42257.16660614162,4015.2437677457146,1.0,1.0,16.0,2.0,2.0,1.0,147174.0,,,,,,,,,18568.594662234227,232646.0366301412,13.0,1.0,14449.082733307296,633614.8422919996,1071128.2718307674,1.0,17.0,351970.7527681404,1456465.8812597638,1794505.1456698752,10.0,9.0,117760.85287784824,,13451.0
14576,current,M,32,694.0,3162.1969897428717,27054.94812244363,,3.0,18.0,1.0,1.0,6.0,,53071.0,,,,,,,,,307623.7327602682,425054.5293498272,9.0,7.0,83694.95562954519,513122.39898913185,422550.93934459396,5.0,12.0,627377.2793272759,1474325.232125152,286197.0334020403,8.0,9.0,572142.8892284883,,15126.0
17402,current,M,32,746.0,9091.338342119376,,,7.0,10.0,31.0,9.0,,,84947.0,,,,,,,,,181151.0176544667,288723.7663368978,19.0,2.0,47024.41104859517,605485.2366424879,442984.1004456705,2.0,16.0,336761.34648982325,1497884.1043414804,668800.813017757,7.0,15.0,38116.17607924741,,23058.0
